Operation,SiteUrl,MachineId,TargetUserOrGroupType,MachineDomainInfo,Site,WebId,UserAgent,ClientIP,ListId,DestinationFileExtension,EventSource,UserType,ObjectId,DestinationFileName,ModifiedProperties,SourceRelativeUrl,OrganizationId,FileSyncBytesCommitted,SourceFileExtension,SourceFileName,UserKey,DestinationRelativeUrl,UserId,CreationTime,TargetUserOrGroupName,EventData,Version,ListItemUniqueId,RecordType,CorrelationId,ItemType,Workload,ImplicitShare,UniqueSharingId,Id,CustomUniqueId
FileModifiedExtended,*REDACTED*,,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T15:56:19,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
FileSyncDownloadedFull,*REDACTED*,*REDACTED*,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,18779,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T15:56:21,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
CompanyLinkUsed,*REDACTED*,,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T15:56:49,,,1,*REDACTED*,14,*REDACTED*,File,OneDrive,,,*REDACTED*,
SharingSet,*REDACTED*,,SharePointGroup,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T15:56:49,*REDACTED*,*REDACTED*,1,*REDACTED*,14,*REDACTED*,File,OneDrive,,,*REDACTED*,
AddedToGroup,*REDACTED*,,Member,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,,SharePoint,0,*REDACTED*,,,,*REDACTED*,,,,*REDACTED*,,*REDACTED*,2019-11-26T15:56:49,*REDACTED*,*REDACTED*,1,,14,*REDACTED*,Web,OneDrive,,,*REDACTED*,
AddedToGroup,*REDACTED*,,Member,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,,SharePoint,0,*REDACTED*,,,,*REDACTED*,,,,*REDACTED*,,*REDACTED*,2019-11-26T15:56:49,*REDACTED*,*REDACTED*,1,,14,*REDACTED*,Web,OneDrive,,,*REDACTED*,
FilePreviewed,*REDACTED*,,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T15:56:50,,,1,*REDACTED*,6,*REDACTED*,File,OneDrive,,,*REDACTED*,
PageViewed,,,,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,,SharePoint,0,*REDACTED*,,,,*REDACTED*,,,,*REDACTED*,,*REDACTED*,2019-11-26T15:57:01,,,1,*REDACTED*,4,*REDACTED*,Page,OneDrive,,,*REDACTED*,True
GroupAdded,,,,,*REDACTED*,,*REDACTED*,*REDACTED*,,,SharePoint,0,*REDACTED*,,*REDACTED*,,*REDACTED*,,,,*REDACTED*,,*REDACTED*,2019-11-26T15:57:24,,,1,,4,*REDACTED*,Site,OneDrive,,,*REDACTED*,
SharingSet,*REDACTED*,,SharePointGroup,,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,*REDACTED*,,SharePoint,0,*REDACTED*,,,*REDACTED*,*REDACTED*,,xlsx,*REDACTED*,*REDACTED*,,*REDACTED*,2019-11-26T15:57:25,*REDACTED*,*REDACTED*,1,*REDACTED*,14,*REDACTED*,File,OneDrive,,,*REDACTED*,
